BATCH CONVERSION REPORT
Generated:,2025-12-29 15:43:59
Source:,C:\Projects\FRAMEWORK_PARSER\PLC_410D1
Output:,C:\Projects\FRAMEWORK_PARSER\PLC_410D1_Parsed

=== SUMMARY ===
Total Files Discovered:,1209
Files Processed:,1077
Successful Conversions:,1070
Failed Conversions:,0
Validation Errors (??? found):,7
Skipped (Non-XML/Unsupported):,132
Overall Success Rate:,99.4%
Total Processing Time:,10.2s
Average Time per File:,0.00s

=== FILE TYPE DISTRIBUTION ===
File Type,Total,Success,Failed,Validation Errors,Skipped,Success Rate
Software units\1_Orchestrator_Safety\PLC data types\300_Tracking\00_CTrk = Coil di lamiera,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\300_Tracking\01_RTrk Referce = NON USATO,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\300_Tracking\02_PTrk Parts = Semi-Gusci,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\300_Tracking\03_BTrk Beams = Travi accopiate,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\Areas_ITF,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\Areas_ITF\Prod_Part_Beam_Coil,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\Areas_ITF\Prod_Part_Beam_Coil\0,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\BLO,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC data types\Industry_4.0\PAC3220,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\00_SAFETY,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\01_GEN,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\10_A01,11,11,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\10_A01\01_D,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\10_A01\01_LB,7,7,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\10_A01\01_MB,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\20_A02,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\20_A02\02_D,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\20_A02\02_LB,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\20_A02\02_MB,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\30_A03,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\30_A03\03_D,11,11,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\30_A03\03_LB,11,11,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\30_A03\03_MB,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\99_CONST,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\99_CONST\300_TRK\BTRK,7,7,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\99_CONST\300_TRK\PTRK,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\PLC tags\99_CONST\300_TRK\RTRK,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks,7,5,0,0,2,100.0%
Software units\1_Orchestrator_Safety\Program blocks\000_Safety,5,4,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\000_Safety\1001_F_Zone Area 01,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\000_Safety\1002_F_Zone Area 02,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\000_Safety\1003_F_Zone Area 03_04,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\001_Area,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\Infeed,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\Motor,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\OnOffAxis,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\OnOffAxis\PosFbk,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\SinamicsCU,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\SinamicsSpeedMotor,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TAxis\FlyingShearAxis,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TAxis\FlyingShearAxis\MTH,16,16,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TAxis\PositioningAxis,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TAxis\SpeedAxis,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TExternalEncoder,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\TMeasuringInput,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\002_Device\Valve,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\003_Drives,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\003_Drives\TokenChain,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\004_System,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\007_Time,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\008_FunctionModule,8,8,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\010_Machine\HydraulicUnit,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\010_Machine\Lubrication,8,8,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\020_Generic,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\050_Safety\FUN,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\050_Safety\SafetyInterface,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\200_Programs\FUN,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\001_StdBlocks\200_Programs\ProgramsManager,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\00_FUN,6,6,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\01_VALVE_MACHINE,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\02_FEED_MACHINE,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\02_FEED_MACHINE\FUN,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\03_POSITIONING_MACHINE,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\03_POSITIONING_MACHINE\FUN,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\04_SPEED_MACHINE,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\05_POSITIONING_MOTOR_OPEN_LOOP_MACHINE,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\05_POSITIONING_MOTOR_OPEN_LOOP_MACHINE\FUN,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\06_POSITIONING_DRIVE_OPEN_LOOP_MACHINE,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\07_POSITIONING_DRIVE_EPOS_MACHINE,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\10_Material_Counters,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\10_Material_Counters\Virtual,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\10_Material_Counters\Wheel&Axis,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\03_Machines\11_SmartLoop,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Function_Motions_Calc,7,7,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Generic,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Generic\INC & DEC,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Generic\Lamp & B,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Generic\Sensors,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\Generic\Time,2,2,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\002_PrjBlocks\STRINGHE,3,3,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen,4,2,0,0,2,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\100_Generic,3,2,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\102_Safety,3,2,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\102_Safety\Area_X,4,4,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\103_Drives,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\104_System,3,2,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\110_HMI,4,3,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\1000_Gen\20_I4.0,7,6,0,0,1,100.0%
Software units\1_Orchestrator_Safety\Program blocks\200_Programs\211_PartProgram,4,2,0,0,2,100.0%
Software units\1_Orchestrator_Safety\Program blocks\200_Programs\211_PartProgram\Archive,20,20,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\200_Programs\221_PrfProgram,4,2,0,0,2,100.0%
Software units\1_Orchestrator_Safety\Program blocks\200_Programs\221_PrfProgram\Archive,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\300_Tracking\00_CTrk = Coil di lamiera,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\300_Tracking\01_RTrk Referce Hole = Fori di riferimento NON USATO,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\300_Tracking\02_PTrk Parts = Semi-Gusci,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\300_Tracking\03_BTrk Beams = Travi accopiate,5,5,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\BLO,1,1,0,0,0,100.0%
Software units\1_Orchestrator_Safety\Program blocks\System blocks\Program resources,1,0,0,0,1,0.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\301_ProductionMng,12,12,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\301_ProductionMng\Areas,3,3,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\303_MES\000_Struttura_Errori_a_Codice,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\303_MES\000_Struttura_mesaggio,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\303_MES\010_Errori_Esecuzione_SEND,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\303_MES\020_Errori_Esecuzione_RECEIVE,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\400_IPC,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC data types\400_IPC\Cancellare,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\PLC tags,10,10,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\300_DEBUG_MES_DM,3,2,0,0,1,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment,5,4,0,0,1,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\0_GEN,10,10,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\0_GEN\0_FUN,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\1_O_ACT - ORDINE_IN_LAVORO,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\1_O_ACT - ORDINE_IN_LAVORO\0_FUN,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\1_O_ACT - ORDINE_IN_LAVORO\1_TEST,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\2_O_TODO - ORDINI_DA_ESEGUIRE,3,3,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\2_O_TODO - ORDINI_DA_ESEGUIRE\0_FUN,3,3,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\2_O_TODO - ORDINI_DA_ESEGUIRE\1_TEST,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\3_O_ENDING - ORDINI IN VIA DI COMPLETAMENTO,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\3_O_ENDING - ORDINI IN VIA DI COMPLETAMENTO\1_TEST,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\4_O_OUT - ORDINI USCITI\1_TEST,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\97_PPRG,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\0_FUN\98_TRK,3,3,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\00_Production_Data\1_TEST,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\01_Orders,12,12,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\01_Orders\FUN,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\02_Setup,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\02_Setup\FUN,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\03_Sospensioni,1,0,0,1,0,0.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\03_Sospensioni\0_FUN,5,5,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\04_Pacchi,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\04_Pacchi\FUN,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\05_Slow_Stop_Ricondizionamento,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\06_Slow_Stop_Parti_Ordine_Completate,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\07_Pulizia_O_ENDING,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\08_Materiale_To_GO,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\10_Coils_Mng,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\10_Coils_Mng\FUN,5,5,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\10_Coils_Mng\PUSH,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\99_HMI,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\99_HMI\0_Operazioni su O_TODO,2,2,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\301_Production_Managment\99_HMI\1_Setup_Manauale,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES,3,2,0,0,1,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\AUX_4_ALL_TOPICS,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\AUX_4_ALL_TOPICS\0_FUN,7,7,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\RECEIVE,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\RECEIVE\0_DECODER,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\RECEIVE\1_DEBUG,6,6,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\RECEIVE\1_DEBUG\FUN,7,7,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\SEND,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\SEND\0_PUSH,7,7,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_1XX\SEND\1_DEBUG,4,4,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_2XX,1,1,0,0,0,100.0%
Software units\30_Prod_and_MES_and_LOG\Program blocks\303_MES\TOPIC_2XX\RECEIVE,1,0,0,1,0,0.0%
